id,lei,site,tit,cid,uf,lan,aval,data,url,tipo,img
a7c61d9ff8c2,FELIPE NUNES GOMES TEIXEIRA BIGNARDI,https://leiloei.com,Compra por Proposta Previous Next ID: 34286 Lote 1 Terreno com Casa A.T. 9.999 m² - Sâo Francisco do,,SP,1750000.0,,2026-06-03,https://cartoriocomprova.bomvalor.com.br/registro/BmcQJ3gLdCYgTKXuJoGFhd.r,IMOVEL,https://d3r4ngrkezrhn6.cloudfront.net/public/comprei/fotos/imoveis/327x244/terreno_sao_francisco_do_sul_sao_jose_do_acarai-410385-1.jpg
d6cb3cd6836b,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,DIREITOS AQUISITIVOS EM APARTAMENTO RESIDENCIAL – CONDOMÍNIO JATOBÁ – TAUBATÉ/SP,Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/430/direitos-aquisitivos-em-apartamento-residencial-condominio-jatoba-taubate-sp/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/430/69c5c3b62b218-69c5c3b637f94.jpg
9fa583bf6b6e,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,"DIREITOS SOBRE APARTAMENTO – 49,50m² – CONJUNTO HABITACIONAL BOM RETIRO II – SÃO JOSÉ DOS CAMPOS/SP",Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/432/direitos-sobre-apartamento-49-50m-conjunto-habitacional-bom-retiro-ii-sao-jose-dos-campos-sp/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/432/69c983e3cc5b2-69c983e3d55a0.jpg
55fd66138177,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,DIREITOS SOBRE APARTAMENTO – CONDOMÍNIO PALÁCIO DE WINDSOR – RIBEIRÃO PRETO/SP,Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/434/direitos-sobre-apartamento-condominio-palacio-de-windsor-ribeirao-preto-sp/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/434/69cdb16c575f6-69cdb16c5cc42.jpg
1239fbf80369,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,"02 LOTES - RESIDÊNCIA DE ALTO PADRÃO DE 662,85m² e QUADRA ESPORTIVA de 525m²  – RIBEIRÃO PRETO/SP",Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/419/02-lotes-residencia-de-alto-padrao-de-662-85m-e-quadra-esportiva-de-525m-ribeirao-preto-sp,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/419/69af6bd3b6c52-69af6bd3bb8be.jpg
76dfcba06363,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,TERRENO DE 2.370 m² – CONDOMÍNIO PARQUE DAS ORQUÍDEAS – SÃO PAULO/SP,Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/455/terreno-de-2-370-m-condominio-parque-das-orquideas-sao-paulo-sp/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/455/69fba76e41c03-69fba76e44b4a.jpg
7a6bc8715cbe,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,"Direitos sobre Apartamento 49,96 m² - CONDOMÍNIO RESIDENCIAL PALMEIRA – TAUBATÉ/SP",Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/420/direitos-sobre-apartamento-49-96-m-condominio-residencial-palmeira-taubate-sp/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/420/69b0ae86d11b5-69b0ae86de395.jpg
82875f892d19,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,"IMÓVEL URBANO EM TAUBATÉ/SP – TERRENO DE 386,34 m² – VILA OLÍMPIA",Ribeirão Preto,SP,,,2026-06-03,https://valeroleiloes.com.br/eventos/leilao/446/imovel-urbano-em-taubate-sp-terreno-de-386-34-m-vila-olimpia/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/446/69ea6f423771e-69ea6f4242701.jpg
6b135057f835,DAGMAR CONCEICAO DE SOUZA FLORES,https://www.leilaobrasil.com.br,Apartamento no Cond. Parque Pérola do Oriente em Piracicaba,,SP,120000.0,,2026-06-04,https://www.leilaobrasil.com.br/eventos/leilao/4194/apartamento-no-cond-parque-perola-do-oriente-em-piracicaba/lote,IMOVEL,https://static.suporteleiloes.com.br/leilaobrasilcombr/leiloes/4194/691b37f346304-691b37f34d64c.jpg
9ac88a35f421,FELIPE NUNES GOMES TEIXEIRA BIGNARDI,https://leiloei.com,"Compra por Proposta Previous Next ID: 34365 Lote 1 Terreno A.T. 1.100 ha - Chapada da Vereda Grande,",,SP,3850000.0,,2026-06-04,https://cartoriocomprova.bomvalor.com.br/registro/JF2VFUSsZAiSAb55ehFXZs.r,IMOVEL,https://d3r4ngrkezrhn6.cloudfront.net/public/comprei/fotos/imoveis/327x244/area_rural_urucui-014091-1.jpg
ff91c8904c44,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,EQUIPAMENTOS INDUSTRIAIS – GIRAFAS HIDRÁULICAS E BOMBA DE TESTE – TAUBATÉ/SP,Ribeirão Preto,SP,,,2026-06-06,https://valeroleiloes.com.br/eventos/leilao/437/equipamentos-industriais-girafas-hidraulicas-e-bomba-de-teste-taubate-sp,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/437/6a14d0a7e4e94-6a14d0a7f0801.jpg
37bca94f8b9c,JOSE VALERO SANTOS JUNIOR,https://valeroleiloes.com.br,"DIREITOS POSSESSÓRIOS – IMÓVEL RESIDENCIAL COM 2.079,31m² DE TERRENO E 316,76m² CONSTRUÍDOS – BARRA VELHA – ILHABELA/SP",Ribeirão Preto,SP,,,2026-06-08,https://valeroleiloes.com.br/eventos/leilao/445/direitos-possessorios-imovel-residencial-com-2-079-31m-de-terreno-e-316-76m-construidos-barra-velha-ilhabela-sp/lote,IMOVEL,https://static.suporteleiloes.com.br/valeroleiloescombr/leiloes/445/69efb4148f454-69efb4149ae92.jpg
222f7a574c5c,ANDERSON LOPES DE PAULA,https://e-leiloeiro.leilao.br,Imóvel 360m² Belo Horizonte MG,São Paulo,SP,,,2026-06-09,https://e-leiloeiro.leilao.br,IMOVEL,"https://www.e-leiloes.com.br/cdn-cgi/image/format=auto,width=400,quality=80,fit=cover/https://static.e-leiloes.com.br/eleiloescombr/leiloes/2217/sl-leilao-2217-6a152d52ed725-6a152d5302af7.png"
