url,leiloeiro,cidade,estado,titulo,preco,avaliacao
https://www.leiloesbrasil.com.br/imoveis#,Antonio Brasil II,Aparecida de Goiania,GO,207.346 - APARTAMENTO - APTO ALTO PADRÃO COM GARAGEM,"353.000,00",
https://www.lkleiloes.com.br/leilao/265/lotes,Leila Nanci Karasiaki,Goiania,GO,Município de Cumarí Data: 17/06/2026 (quarta-feira) Primeiro lote a partir das: 14:00 PÚBL,,
https://www.leiloesbrasil.com.br/imoveis#,Leony Gomes dos Santos Junior,Aparecida de Goiania,GO,207.346 - APARTAMENTO - APTO ALTO PADRÃO COM GARAGEM,"353.000,00",
"https://www.leilo.com.br/leilao/goiania-goias/imoveis/goiatuba/go---terreno-com-237,50-m%C2%B2/ano.2023/125aaca6-5b88-11f1-99e0-02420a00000a",Felipe Guimaraes Carrijo,Aparecida de Goiania,GO,Leilão de Imoveis,"260.000,00",
https://www.leilo.com.br/leilao/goiania-goias/imoveis/imovel-no-bairro-sao-carlos---goiania/go/ano.2023/760d8210-4fcf-11f1-8cef-02420a000008,Felipe Guimaraes Carrijo,Aparecida de Goiania,GO,IMOVEL NO BAIRRO SAO CARLOS - GOIANIA/GO,"200.000,00",
"https://www.leilo.com.br/leilao/goiania-goias/imoveis/nova-veneza/go-lote-com-a-area-de-9.960,46-m%C2%B2/ano.2023/6bb04919-53c2-11f1-8cef-02420a000008",Felipe Guimaraes Carrijo,Aparecida de Goiania,GO,"Nova Veneza/GO LOTE com a área de 9.960,46 m²","1.050.000,00",
"https://www.leilo.com.br/leilao/goiania-goias/imoveis/campo-limpo-de-goias/go----lote-com-area-de-287,50-m/ano.2023/371a5fe7-552a-11f1-8cef-02420a000008",Felipe Guimaraes Carrijo,Aparecida de Goiania,GO,"CAMPO LIMPO DE GOIAS/GO -  LOTE COM AREA DE 287,50 M","420.000,00",
https://www.leilo.com.br/leilao/goiania-goias/imoveis/novo-gama/go---terreno-360-m/ano.2023/8c5c4036-5dfe-11f1-99e0-02420a00000a,Felipe Guimaraes Carrijo,Aparecida de Goiania,GO,NOVO GAMA/GO - TERRENO 360 M,"116.300,00",
https://www.leilo.com.br/leilao/goiania-goias/imoveis/goiania/go---casa-com-216-m/ano.2023/8e007da7-5dfe-11f1-99e0-02420a00000a,Felipe Guimaraes Carrijo,Aparecida de Goiania,GO,GOIANIA/GO - CASA COM 216 M,"280.000,00",
"https://www.leilo.com.br/leilao/goiania-goias/imoveis/goiatuba/go---terreno-com-237,50-m%C2%B2/ano.2023/125aaca6-5b88-11f1-99e0-02420a00000a",Eduardo Vinicius Fleury Lobo,Goiania,GO,Leilão de Imoveis,"260.000,00",
