url,leiloeiro,cidade,estado,titulo,preco,avaliacao
https://www.juleiloes.com.br/leilao/lotes/eletronicos,juleiloes.com.br,,,ELETRÔNICOS,,
https://www.juleiloes.com.br/leilao/lotes/equipamentos,juleiloes.com.br,,,EQUIPAMENTOS,,
https://www.juleiloes.com.br/leilao/lotes/maquinas,juleiloes.com.br,,,MÁQUINAS,,
https://www.juleiloes.com.br/leilao/lotes/motocicleta,juleiloes.com.br,,,MOTOCICLETA,,
https://www.juleiloes.com.br/leilao/lotes/semoventes,juleiloes.com.br,,,SEMOVENTES,,
https://www.juleiloes.com.br/leilao/lotes/sucatas,juleiloes.com.br,,,SUCATAS 0 itens,,
https://www.juleiloes.com.br/leilao/leilao-de-bens-da-comarca-de-guapore-rs-20-05-2026-16-59-22/lotes/lista,juleiloes.com.br,,,LEILÃO DE BENS DA COMARCA DE GUAPORÉ/RS,,
https://www.kleiberjrleiloes.com.br/login?redirect=https://www.kleiberjrleiloes.com.br/eventos/leilao/imoveis-em-area-nobre-no-jardim-riva-em-primavera-do-leste-mt/lote/1351/imovel-residencial-comercial-de-esquina-no-jardim-riva-em-primavera-do-leste-mt,kleiberjrleiloes.com.br,,,Kleiber Jr Leilões,,
https://www.kleiberjrleiloes.com.br/login?redirect=https://www.kleiberjrleiloes.com.br/eventos/leilao/imoveis-em-area-nobre-no-jardim-riva-em-primavera-do-leste-mt/lote/1352/terreno-com-600-m-no-jardim-riva-em-primavera-do-leste-mt,kleiberjrleiloes.com.br,,,Kleiber Jr Leilões,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1510/l13-saveiro-cl-1-6-98,kleiberleiloes.com.br,,,Faça login para se habilitar,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1511/saveiro-cl-1-6-98,kleiberleiloes.com.br,,,Kleiber Leilões,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1512/saveiro-cl-1-6-98,kleiberleiloes.com.br,,,Kleiber Leilões,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1513/l10-s-10-ls-cd-diesel-2013,kleiberleiloes.com.br,,,Kleiber Leilões,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1514/l09-s-10-cd-gasolina-98,kleiberleiloes.com.br,,,Kleiber Leilões,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1515/l08-veiculo-renault-clio-flex-4p-2005,kleiberleiloes.com.br,,,Kleiber Leilões,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1516/l07-volks-gol-cl1-6-2p-97,kleiberleiloes.com.br,,,Faça login para se habilitar,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1517/l06-fiat-fiorino-96,kleiberleiloes.com.br,,,Faça login para se habilitar,,
https://www.kleiberleiloes.com.br/login?redirect=https://www.kleiberleiloes.com.br/eventos/leilao/conab/lote/1521/l02-sucatas-sucateados-e-reaproveitaveis-de-centenas-de-itens-diversos-de-escritorio,kleiberleiloes.com.br,,,Faça login para se habilitar,,
https://www.leilaobrasil.com.br/login?redirect=http://www.leilaobrasil.com.br/eventos/leilao/vw-fox-1-0/lote/20672/vw-fox-1-0,leilaobrasil.com.br,,,Leilão Brasil,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22713/lote,saraivaleiloes.com.br,,,Saraiva Leilões,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22812/lote,saraivaleiloes.com.br,,,Saraiva Leilões,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22813/lote,saraivaleiloes.com.br,,,Saraiva Leilões,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22816/lote,saraivaleiloes.com.br,,,Faça login para se habilitar,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22817/lote,saraivaleiloes.com.br,,,Saraiva Leilões,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22822/lote,saraivaleiloes.com.br,,,Faça login para se habilitar,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22827/lote,saraivaleiloes.com.br,,,Saraiva Leilões,,
https://www.saraivaleiloes.com.br/login?redirect=https://www.saraivaleiloes.com.br/eventos/leilao/imoveis-veiculos-diversos/lote/22828/lote,saraivaleiloes.com.br,,,Faça login para se habilitar,,
https://www.serpaleiloes.com.br/login?redirect=http://www.serpaleiloes.com.br/eventos/leilao/evoque-2014-2015-bmw-320i-2015-2015-vw-amarok-cd-4x4-2016-2016/lote/7015/lote,serpaleiloes.com.br,,,Serpa Leilões,,
